Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"Drain You","Nirvana","Nevermind","Favorites tracks","Favorite","USGF19942508","77610765"
"Tempus","Pole","Tempus","Favorites tracks","Favorite","GBR8R2200008","260216936"
"La vida te busca","Decha","La vida te busca","Favorites tracks","Favorite","DEU672100283","182235337"
"A Zombi's Passport","Emmanuelle Parrenin","Jours de grève","Favorites tracks","Favorite","FR08Q2000053","156121807"
"What Has Happened","Tonstartssbandht","Petunia","Favorites tracks","Favorite","QMV8L1725203","397720195"
"Pour Dampness Down In The Stream","Ryley Walker","Deep Fried Grandeur","Favorites tracks","Favorite","QZNL72100003","169225096"
"Soul Love","Jeff Parker","Modern Love","Favorites tracks","Favorite","GBEQT2100074","181077361"
"Queen of the Underground","GOAT","Queen Of The Underground (Edit)","Favorites tracks","Favorite","UK2SX2108273","181734987"
"Viewfinder","Sam Gellaitry","Viewfinder Vol. 1: PHOSPHENE","Favorites tracks","Favorite","GBKPL1941872","250270789"
"Perfect Crime","Shigeto","No Better Time Than Now","Favorites tracks","Favorite","US2J71308404","20832850"
"For My Love","Butcher Brown","ENCORE","Favorites tracks","Favorite","USC4R2106936","185727782"
"Dreamlike","Electric Kif","Dreamlike","Favorites tracks","Favorite","QM4TX2106872","174700811"
"Hot Cheetos","Mononeon","Hot Cheetos","Favorites tracks","Favorite","USHM21837155","90659525"
"What's Wrong With Groovin'","Letta Mbulu","What's Wrong With Groovin","Favorites tracks","Favorite","GBCTF0400019","4165926"
"In Your Eyes","Badbadnotgood","Nova Tunes 3.4","Favorites tracks","Favorite","USD8D1634010","158757516"
"Room Mate","Lizzy Mercier Descloux","Mambo Nassau","Favorites tracks","Favorite","FR6T50300402","10087440"
"Blueberry Barefoot","No Age","People Helping People","Favorites tracks","Favorite","US58L2285610","234565664"
"Concrete Over Water","Jockstrap","I Love You Jennifer B","Favorites tracks","Favorite","GBCVZ2200080","243723536"
"Epistrophy","Theon Cross","Epistrophy","Favorites tracks","Favorite","GBUM72200374","234064213"
"Uroko (鱗, fish scales)","Sam Gendel","blueblue","Favorites tracks","Favorite","US25X2202588","308685585"
"Glen Beige","Palm","Nicks and Grazes","Favorites tracks","Favorite","US2U62235111","231230423"
"Inner Paths (To Outer Space)","Blood Incantation","Hidden History of the Human Race","Favorites tracks","Favorite","QZJ461900003","118988825"
"In the Moment","Carlos Niño & Friends","Extra Presence","Favorites tracks","Favorite","QM84B2247001","223806507"
"Sx Fnk","The Next Movement","The Next Movement","Favorites tracks","Favorite","CH7812036277","276698611"
"Leah","Messa","Feast for Water","Favorites tracks","Favorite","ITJ351801648","86428601"
"The Bug Collector","Haley Heynderickx","I Need to Start a Garden","Favorites tracks","Favorite","QMFW91700130","83111076"
